cross_tenant_event_id,policy_id,violation_type,multi_tenant_isolation,event_status,client_address,resource_accessed,component_id,hash_on_blockchain,cloud_service
,dae3af15-63c7-49dc-9234-5b8d8dca5bdc,Unauthorized Access,TRUE,Failure,https://131.100.54.111:5137,AppAdmin,Security Engine,410c5a79a12a073770a2f6578415f55c8317c0437251e4137072d4c87f047ac2,AWS
,e4dcf0ba-08f9-439c-ba91-63a8005ec060,Privilege Escalation,TRUE,Failure,https://93.140.150.23:6017,Channel Provider/2,Administration,cc190a84f0e9ca346aa71321b11c1898416cd5c52930a2ad2c9d5b9f0afe29f7,Managed Cloud
,402e8449-02aa-4ded-972d-8125b4e9bcb5,Policy Violation,TRUE,Failure,https://88.253.47.220:8926,User Management,Security Engine,f9a9ea2a4bbd4bc316ba53cb2261b9169d1d66000a2bee3b8326b0f242b0f39a,Azure
,01668a33-274f-469a-924b-7e23c520bc53,Policy Violation,TRUE,Success,https://145.152.35.72:9164,Channel Provider/2,Administration,d3d1cddec7f9b0b9b502de44bd104e040a24df5601d57c875d65ea492173626f,Private Cloud
,41acab69-66b9-4353-8873-7afb9d6c3196,Policy Violation,FALSE,Success,https://94.89.229.16:5512,User Management,Configuration API,060a52885f7dcd172ab42a48077ee5ac128f5fae71cc4f368a71d29d23833699,Google Cloud
e3415ace-4ead-4ad4-b615-ddad8ff4e482,e7501f8d-1589-4794-b3ab-c77bc207194f,Privilege Escalation,FALSE,Success,https://33.255.98.74:5639,Channel Provider/2,Configuration API,357e8a36f60898fd0a11d3053cfa643ed4dfab4d85cd3a26b4f2a0821d872573,Private Cloud
6cbf2df9-a1a0-4e12-9502-043cb52972ec,ee0df992-531a-480c-8db8-d34185a163c2,Privilege Escalation,FALSE,Failure,https://22.140.46.109:5825,User Management,Configuration API,cc17544b525e192559748c9574634f4f118de85def2896e0677e55920f39c282,Google Cloud
,00151f29-3b07-4efc-9086-a2c33d6b29a9,Unauthorized Access,FALSE,Success,https://95.72.98.157:5512,User Management,Configuration API,3995b1e22e40beda34bf6339940d6f063261a3cf447b9df29fe907665af5dc88,Google Cloud
e01298c5-6fec-43c1-adc4-3be7f393bcbf,d14b7028-4c10-4f1a-a9c6-f2279e09ab39,Unauthorized Access,FALSE,Success,https://175.184.184.144:9733,Channel Provider/2,Administration,eb6663afdb6bd90cc6e602a4d41fc71692d1cd19d13d811dd159dc713be62143,Private Cloud
72455b1b-adfa-41a3-852b-3b9617b9d01a,e57a0168-dd89-4229-8bb8-d236e4cd4acf,None,TRUE,Failure,https://21.220.210.70:7999,User Management,Configuration API,4c714d37dcb343cebf94cb449194df2f2ce0202e777683365905fe1327f55287,AWS
